epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,12160.7,0.45864,0.38588,1.05248,0.99295,0.99617,0.99477,0.96153,0.30742,0.1702,0.89716,0.000428245,0.000428245,0.000428245
142,12246.7,0.45553,0.38482,1.05266,0.9944,0.99529,0.99481,0.96171,0.30745,0.1704,0.897,0.000419716,0.000419716,0.000419716
143,12333.1,0.46032,0.39313,1.0567,0.99389,0.99573,0.99481,0.96133,0.30723,0.17006,0.89712,0.000411288,0.000411288,0.000411288
144,12419.4,0.45909,0.39365,1.05563,0.99463,0.99542,0.99485,0.96224,0.30707,0.16985,0.8964,0.000402961,0.000402961,0.000402961
145,12505.3,0.45613,0.38595,1.05123,0.99409,0.99499,0.99485,0.96163,0.30725,0.16937,0.89641,0.000394739,0.000394739,0.000394739
146,12592.1,0.44744,0.37796,1.04704,0.99484,0.99499,0.99486,0.96139,0.30726,0.16922,0.8965,0.000386623,0.000386623,0.000386623
147,12679,0.44243,0.37382,1.0424,0.99536,0.99515,0.99486,0.9613,0.30717,0.16913,0.89627,0.000378614,0.000378614,0.000378614
148,12765.3,0.45098,0.37896,1.04881,0.99444,0.99477,0.99483,0.96119,0.30672,0.16825,0.89556,0.000370717,0.000370717,0.000370717
149,12851.3,0.45473,0.3867,1.05181,0.99263,0.995,0.99481,0.96188,0.3062,0.16781,0.89514,0.000362931,0.000362931,0.000362931
150,12937.7,0.4517,0.38305,1.05021,0.99346,0.99541,0.99483,0.9621,0.3058,0.16772,0.89456,0.000355259,0.000355259,0.000355259
151,13024.2,0.44268,0.37405,1.04275,0.99356,0.99542,0.99481,0.96258,0.3056,0.16791,0.89413,0.000347703,0.000347703,0.000347703
152,13110.6,0.44523,0.37701,1.04443,0.9934,0.99555,0.99481,0.9629,0.30529,0.16735,0.89426,0.000340265,0.000340265,0.000340265
153,13196.9,0.44998,0.37742,1.04789,0.99322,0.99561,0.99482,0.96313,0.30483,0.16726,0.89397,0.000332946,0.000332946,0.000332946
154,13284,0.44175,0.37281,1.04135,0.99346,0.99585,0.99483,0.96276,0.30464,0.16691,0.89389,0.000325749,0.000325749,0.000325749
155,13370.9,0.44155,0.37418,1.04333,0.99349,0.99584,0.99481,0.96255,0.30475,0.16662,0.89425,0.000318675,0.000318675,0.000318675
156,13456.9,0.44613,0.36937,1.04367,0.99325,0.99561,0.9948,0.96255,0.30458,0.16675,0.89428,0.000311726,0.000311726,0.000311726
